STATE FIPS,COUNTY FIPS,STATE/TERRITORY NAME,COUNTY NAME,NAME,name_state, 2010 POPULATION , 2015 POPULATION , LAND AREA (Sqare Miles) 
08,001,Colorado,Adams County,Adams,Adams Colorado," 441,603 "," 491,337 "," 1,167.653 "
08,003,Colorado,Alamosa County,Alamosa,Alamosa Colorado," 15,445 "," 16,496 ", 722.643 
08,005,Colorado,Arapahoe County,Arapahoe,Arapahoe Colorado," 572,003 "," 631,096 ", 798.100 
08,007,Colorado,Archuleta County,Archuleta,Archuleta Colorado," 12,084 "," 12,352 "," 1,350.175 "
08,009,Colorado,Baca County,Baca,Baca Colorado," 3,788 "," 3,615 "," 2,554.967 "
08,011,Colorado,Bent County,Bent,Bent Colorado," 6,499 "," 5,830 "," 1,512.861 "
08,013,Colorado,Boulder County,Boulder,Boulder Colorado," 294,567 "," 319,372 ", 726.289 
08,014,Colorado,Broomfield County,Broomfield,Broomfield Colorado," 55,889 "," 65,065 ", 33.034 
08,015,Colorado,Chaffee County,Chaffee,Chaffee Colorado," 17,809 "," 18,658 "," 1,013.403 "
08,017,Colorado,Cheyenne County,Cheyenne,Cheyenne Colorado," 1,836 "," 1,829 "," 1,778.276 "
08,019,Colorado,Clear Creek County,Clear Creek,Clear Creek Colorado," 9,088 "," 9,303 ", 395.227 
08,021,Colorado,Conejos County,Conejos,Conejos Colorado," 8,256 "," 8,130 "," 1,287.391 "
08,023,Colorado,Costilla County,Costilla,Costilla Colorado," 3,524 "," 3,584 "," 1,226.952 "
08,025,Colorado,Crowley County,Crowley,Crowley Colorado," 5,823 "," 5,562 ", 787.421 
08,027,Colorado,Custer County,Custer,Custer Colorado," 4,255 "," 4,445 ", 738.625 
08,029,Colorado,Delta County,Delta,Delta Colorado," 30,952 "," 29,979 "," 1,142.050 "
08,031,Colorado,Denver County,Denver,Denver Colorado," 600,158 "," 682,545 ", 153.000 
08,033,Colorado,Dolores County,Dolores,Dolores Colorado," 2,064 "," 1,978 "," 1,067.051 "
08,035,Colorado,Douglas County,Douglas,Douglas Colorado," 285,465 "," 322,387 ", 840.248 
08,037,Colorado,Eagle County,Eagle,Eagle Colorado," 52,197 "," 53,605 "," 1,684.530 "
08,039,Colorado,Elbert County,Elbert,Elbert Colorado," 23,086 "," 24,735 "," 1,850.847 "
08,041,Colorado,El Paso County,El Paso,El Paso Colorado," 622,263 "," 674,471 "," 2,126.801 "
